CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
222,El Salvador,0.1337,0.1593,0.1572,0.1661,0.1784,0.1998,0.1821,0.2056,0.1999,0.1895,0.187,0.1904,0.1889,0.2003,0.1911,0.1871,0.191,0.1853,0.1736,0.1773,0.1688
226,Equatorial Guinea,0.1619,0.2734,0.2641,0.1185,0.0405,0.1264,0.0868,0.1269,0.06,0.1188,0.1016,0.4232,0.5699,0.6044,0.3797,0.3125,0.3112,0.2586,0.2194,0.2152,0.2191
232,Eritrea, , , , ,0.0928,0.1465,0.1571,0.2209,0.2425,0.2548,0.2881,0.2462,0.2292,0.2825,0.2953,0.2864,0.2118,0.2155,0.1708,0.2038,0.1994
233,Estonia, , , , , ,1.4148,1.4861,1.3004,1.1455,1.0637,0.9629,0.9307,0.8365,0.8861,0.8414,0.7533,0.6602,0.7149,0.6923,0.6791,0.8174
231,Ethiopia,0.1145,0.122,0.1328,0.1198,0.1141,0.0777,0.1198,0.1332,0.1622,0.1557,0.1686,0.1151,0.1179,0.133,0.1241,0.107,0.1035,0.1014,0.0985,0.0947,0.084
242,Fiji,0.3271,0.2774,0.2796,0.2893,0.2952,0.3059,0.3006,0.2531,0.2387,0.2502,0.2742,0.3465,0.2518,0.257,0.3208,0.3836,0.3755,0.335,0.2971,0.2365,0.3611
246,Finland,0.4484,0.4955,0.4572,0.487,0.5342,0.4721,0.5288,0.4874,0.4408,0.4126,0.3685,0.3899,0.4145,0.4582,0.4286,0.3392,0.3936,0.3611,0.3185,0.3271,0.3683
250,France,0.2822,0.2993,0.2738,0.2702,0.2509,0.2617,0.2687,0.2445,0.255,0.224,0.2127,0.2205,0.2156,0.2175,0.2135,0.2107,0.2007,0.1927,0.1912,0.1891,0.1883
266,Gabon,0.3489,0.1003,0.1493,0.2211,0.2178,0.2388,0.2111,0.2003,0.0891,0.0861,0.0643,0.1066,0.1066,0.0781,0.102,0.117,0.1095,0.1224,0.0803,0.0042,0.1256
270,Gambia,0.1298,0.1305,0.1262,0.1294,0.1292,0.1323,0.1294,0.1234,0.1297,0.1333,0.1352,0.1311,0.1513,0.1416,0.1356,0.1369,0.1413,0.1602,0.1572,0.1567,0.1596
