CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
270,Gambia,0.1977,0.1978,0.1915,0.1963,0.1909,0.1918,0.1865,0.1813,0.1918,0.2039,0.212,0.2111,0.2289,0.2222,0.2212,0.2148,0.2178,0.2488,0.2512,0.2593,0.2737
268,Georgia, , ,2.8684,1.8942,1.1796,0.4543,0.8146,0.901,1.02,0.9042,0.9558,0.8046,0.7324,0.8256,0.9565,1.132,1.3843,1.4017,1.4197,1.3851,1.434
276,Germany, ,11.6755,11.1104,10.845,10.621,10.547,10.8225,10.4739,10.3869,9.9884,10.0788,10.362,10.054,10.1038,10.0079,9.7734,9.8001,9.5013,9.4981,8.8859,9.0566
288,Ghana,0.2657,0.2658,0.2616,0.2896,0.3063,0.3193,0.3303,0.3582,0.3503,0.3499,0.3281,0.3525,0.3697,0.3702,0.348,0.3214,0.419,0.4217,0.3666,0.3125,0.3689
300,Greece,7.1575,6.5985,7.2942,7.2291,7.4109,7.42,7.4754,7.8127,8.0674,7.921,8.3387,8.5028,8.4591,8.6165,8.7151,8.8236,8.6713,8.7285,8.662,8.3787,7.634
304,Greenland,10.0266,9.8734,8.684,9.0145,9.0956,9.0979,9.289,9.4005,9.5226,9.6926,9.4669,9.5576,9.5199,9.3589,10.2207,10.6487,10.9462,10.7474,11.1311,9.7201,11.0653
308,Grenada,1.1435,1.183,1.246,1.2728,1.4802,1.5774,1.5987,1.7419,1.7388,1.9141,1.8814,1.907,2.0107,2.1136,2.0009,2.1025,2.2419,2.3025,2.5067,2.4304,2.4883
312,Guadeloupe,3.3483,3.4788,3.6137,3.6499,3.7301,3.7509,3.73,3.7351,3.6474,3.756,4.8594,4.8547,4.6597,4.6617,4.1454,3.8491,3.8054,3.8518,3.8177,3.7943,3.7728
320,Guatemala,0.57,0.5534,0.644,0.5916,0.6987,0.7154,0.6492,0.7249,0.8163,0.8136,0.8824,0.9231,0.9403,0.868,0.9368,0.9792,0.961,0.9459,0.8357,0.844,0.7727
324,Guinea,0.1834,0.1765,0.1661,0.1607,0.1694,0.1652,0.163,0.1604,0.1532,0.1546,0.1534,0.1532,0.1539,0.1535,0.151,0.1306,0.1283,0.1291,0.127,0.1258,0.1238
624,Guinea-Bissau,0.2488,0.2477,0.2456,0.2581,0.2529,0.2506,0.2491,0.2255,0.1441,0.1594,0.1185,0.1186,0.1194,0.1476,0.1507,0.1557,0.1548,0.1622,0.1561,0.1583,0.1571
328,Guyana,1.5726,1.5509,1.4538,1.4567,1.8374,2.0344,2.0974,2.1953,2.2643,2.3008,2.1962,2.1691,2.1409,2.1136,2.1889,1.9216,1.7252,2.0878,2.073,2.065,2.2545
332,Haiti,0.1395,0.1371,0.1225,0.0877,0.039,0.1196,0.1361,0.1738,0.1477,0.1567,0.1582,0.1785,0.2044,0.1911,0.2158,0.2221,0.2228,0.2488,0.2494,0.2294,0.2121
340,Honduras,0.5303,0.5369,0.5957,0.5372,0.6133,0.696,0.6939,0.7125,0.7798,0.7785,0.8091,0.9001,0.9403,1.0242,1.0925,1.0981,0.9986,1.2263,1.1875,1.0558,1.0668
348,Hungary,6.0672,6.1226,5.6705,5.8094,5.6151,5.8132,6.0789,6.0057,5.9208,5.8962,5.6058,5.5988,5.5215,5.8288,5.6726,5.7418,5.6869,5.5622,5.4538,4.8665,5.0666
352,Iceland,7.8142,6.8659,7.0417,7.5881,7.5875,7.2791,8.1853,7.7153,7.6231,7.4281,7.6953,7.3981,7.5702,7.4795,7.6211,7.4273,7.5645,7.5559,6.824,6.5094,6.1286
356,India,0.7903,0.8273,0.8611,0.8773,0.9139,0.9539,1.02,1.0434,1.0525,1.1043,1.126,1.1236,1.1268,1.1592,1.2008,1.2378,1.3002,1.3726,1.521,1.6413,1.6404
360,Indonesia,0.8113,0.9588,1.0633,1.1296,1.1268,1.1281,1.2523,1.3589,1.0114,1.149,1.2344,1.364,1.4005,1.428,1.5032,1.5046,1.5011,1.6155,1.7552,1.9085,1.8093
364,Iran,3.8479,4.0669,4.0141,4.1037,4.5202,4.5773,4.5502,4.3576,4.8981,5.954,5.7039,6.0143,5.9836,6.1541,6.4953,6.7305,7.2241,7.5563,7.8929,7.8959,7.7272
368,Iraq,3.025,2.6535,3.3485,3.5144,3.8222,3.8398,3.3138,3.1498,3.2286,3.1233,3.0366,3.476,3.4582,3.516,4.2859,4.1949,3.5373,2.1696,3.167,3.4712,3.6205
372,Ireland,8.8944,8.8429,8.8254,8.7626,9.1168,9.1042,9.7882,9.9492,10.3103,10.7128,10.8695,11.4209,11.119,10.8059,10.7586,10.4701,10.2824,10.3893,9.8834,9.207,8.9487
376,Israel,7.4523,7.392,8.632,9.0547,9.1243,10.1715,9.9148,11.2599,10.8895,10.5486,10.4225,10.7235,10.117,10.252,9.7664,9.1217,9.7669,9.5986,10.0021,9.2314,9.5244
380,Italy,7.3471,7.454,7.3914,7.2346,7.1513,7.5535,7.5913,7.6758,7.8328,7.7391,7.9219,7.8733,7.872,8.0939,8.1143,8.0684,7.944,7.7767,7.4666,6.6656,6.7102
388,Jamaica,3.368,3.4338,3.3762,3.4804,3.5387,3.9419,4.1044,4.2374,3.8401,3.8206,3.9971,4.0805,3.9227,4.0517,4.0208,3.9696,4.4579,4.9759,4.3918,3.1464,2.6114
392,Japan,8.9556,8.969,9.1216,8.9651,9.4605,9.5106,9.6592,9.606,9.2484,9.5437,9.7008,9.5499,9.653,9.8065,9.9736,9.7963,9.7363,9.8892,9.5375,8.6972,9.252
400,Jordan,3.0458,2.7222,3.2228,3.0107,3.2335,3.0938,3.1458,3.13,3.1061,3.0662,3.2127,3.2592,3.3785,3.4276,3.6928,3.9362,3.773,3.8007,3.5499,3.5273,3.3652
398,Kazakhstan, , ,15.9034,13.5699,12.3751,10.4692,8.9541,8.3683,8.1927,7.7238,8.5426,9.9283,10.1966,10.2825,11.4364,11.6629,12.5737,14.2357,14.7194,13.5147,15.52
404,Kenya,0.2483,0.1997,0.2213,0.2456,0.2461,0.2754,0.3309,0.2855,0.338,0.3339,0.3333,0.2921,0.242,0.1998,0.2197,0.2404,0.262,0.2623,0.2663,0.313,0.3067
296,Kiribati,0.3063,0.3007,0.2962,0.2924,0.2888,0.2848,0.4718,0.3638,0.407,0.3514,0.3928,0.3039,0.459,0.4506,0.4867,0.674,0.7484,0.5366,0.5698,0.4081,0.6228
408,North Korea,12.1547,12.2712,12.277,12.3972,12.0925,11.9126,11.6468,10.5342,2.8862,3.1322,3.3502,3.4429,3.2715,3.3186,3.3683,3.4959,3.5405,2.931,3.2363,3.0813,2.9419
410,South Korea,5.7455,6.0288,6.5009,7.3076,7.7546,8.3912,8.9816,9.5076,8.0189,8.74,9.7322,9.7422,10.0307,9.9993,10.2983,9.8401,9.9604,10.4388,10.6434,10.62,11.7793
414,Kuwait,23.1419,5.0177,10.9585,18.527,23.0553,33.6763,30.8049,32.7142,29.339,29.0876,28.4323,27.4295,25.4868,28.9907,29.0178,31.6018,31.3718,30.7359,31.3768,30.9373,34.2365
417,Kyrgyzstan, , ,2.4265,1.8431,1.332,0.9662,1.1997,1.1567,1.2071,0.9312,0.9141,0.758,0.9691,1.0638,1.1356,1.0378,1.0121,1.1424,1.0914,1.2294,1.1996
418,Lao People's Democratic Republic,0.0561,0.0587,0.0629,0.0612,0.0643,0.0788,0.1031,0.1272,0.1404,0.1833,0.1828,0.1668,0.2141,0.2023,0.2511,0.2492,0.2705,0.2812,0.2893,0.2963,0.3022
428,Latvia, , ,5.182,4.7093,4.4747,3.8686,3.8552,3.4293,3.3354,2.8421,2.6168,2.8953,2.8302,3.0366,3.0752,3.1125,3.3069,3.4746,3.3423,3.0176,3.3818
422,Lebanon,3.0858,3.1387,3.6275,3.587,3.787,3.9327,3.899,4.3496,4.4397,4.4989,4.1028,4.262,4.146,4.63,4.2108,4.0087,3.5385,3.6209,3.9972,4.9838,4.8261
426,Lesotho, , , , , , , , , , , , , , , , , ,0.0033,0.0085,0.0121,0.0083
430,Liberia,0.2275,0.1368,0.1412,0.1591,0.1564,0.1595,0.1565,0.1508,0.1531,0.1501,0.1531,0.1708,0.1676,0.1751,0.2027,0.2328,0.229,0.195,0.1574,0.1376,0.2
434,Libyan Arab Jamahiriya,8.4855,9.6936,8.2617,8.4693,9.4156,9.6379,9.081,9.0841,9.0204,8.6905,9.0064,9.0222,8.8019,8.8732,8.9087,9.0313,9.1263,9.0003,9.8204,10.8059,9.2894
440,Lithuania, , ,6.0025,4.7624,4.753,4.465,4.3648,4.2881,4.5628,3.8859,3.4857,3.7128,3.8158,3.7466,3.884,4.0966,4.2067,4.4797,4.4988,3.7646,4.0802
442,Luxembourg,26.2417,27.5097,27.0358,27.2301,25.3631,20.4087,20.4124,18.9315,17.2994,17.8474,18.9212,20.0246,21.263,22.1916,24.9929,25.2495,24.3929,22.8478,22.1701,20.5953,21.3401
450,Madagascar,0.0874,0.0924,0.0873,0.0868,0.1034,0.1,0.1042,0.1217,0.1204,0.1293,0.122,0.1099,0.0756,0.101,0.1042,0.0974,0.0913,0.0956,0.0995,0.0905,0.0972
454,Malawi,0.0652,0.0689,0.0678,0.0713,0.0736,0.0739,0.0706,0.0736,0.0781,0.0913,0.0807,0.0786,0.0747,0.0788,0.0782,0.0715,0.0722,0.0701,0.0825,0.0734,0.0831
458,Malaysia,3.108,3.6664,3.9209,4.6557,4.6528,5.8459,5.9008,5.7306,5.1153,4.7199,5.4069,5.705,5.512,6.3952,6.5389,6.7958,6.4186,7.5896,7.7529,7.2947,7.6337
462,Maldives,0.7017,0.762,1.0917,0.9091,0.9044,1.1057,1.2561,1.417,1.2658,1.7349,1.8263,2.0735,2.441,2.0861,2.6702,2.371,2.9624,3.021,3.2766,3.4227,3.4
466,Mali,0.0487,0.0492,0.0489,0.0489,0.0483,0.0477,0.0484,0.0505,0.0485,0.0491,0.0481,0.0469,0.0462,0.0435,0.0442,0.0431,0.0418,0.0413,0.0411,0.041,0.0405
470,Malta,5.9261,5.5888,5.4403,7.0342,6.3629,5.5022,5.7748,6.4445,5.4521,5.9367,5.196,6.2189,5.7154,6.3787,6.3215,6.5943,6.2615,6.6043,6.1844,6.0137,6.2159
584,Marshall Islands,1.0151,1.0522,1.1141,1.239,1.3053,1.2939,1.2843,1.2767,1.348,1.2673,1.4767,1.5538,1.6133,1.6156,1.6933,1.6142,1.7621,1.8862,1.8722,1.929,1.9061
474,Martinique,5.7544,5.1062,5.6443,5.5358,5.568,5.5449,5.4637,5.4392,5.4966,5.4777,5.5301,5.4698,5.3317,5.8037,6.0879,6.2775,5.961,5.3951,5.3177,5.6507,5.6208
478,Mauritania,1.336,1.3412,1.3973,1.3674,1.4019,1.3023,1.2724,1.2369,0.4452,0.4669,0.4677,0.4959,0.5121,0.5114,0.5505,0.55,0.5355,0.5958,0.6133,0.6546,0.6402
480,Mauritius,1.3808,1.4181,1.5694,1.6054,1.4474,1.6094,1.6959,1.7197,1.8723,2.0836,2.3152,2.4556,2.4416,2.5503,2.5641,2.7134,2.9818,3.0471,3.079,2.9924,3.1697
484,Mexico,3.7294,3.7981,3.753,3.707,3.837,3.5551,3.6312,3.755,3.8495,3.8761,3.8167,3.8962,3.8121,3.904,3.9053,4.0856,4.097,4.1736,4.2616,3.9831,3.9117
