CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
462,Maldives,154,172,253,216,220,275,319,367,334,466,499,576,689,598,777,700,887,917,1008,1067,1074
466,Mali,422,436,444,455,462,469,488,524,517,539,543,546,554,539,565,568,568,579,594,612,623
470,Malta,2178,2076,2043,2670,2439,2127,2248,2523,2145,2347,2065,2486,2299,2582,2574,2699,2574,2725,2560,2497,2589
584,Marshall Islands,48,51,55,62,66,66,66,66,70,66,77,81,84,84,88,84,92,99,99,103,103
474,Martinique,2068,1848,2054,2024,2046,2050,2035,2043,2083,2094,2131,2123,2083,2281,2406,2494,2380,2164,2142,2285,2281
478,Mauritania,2666,2750,2945,2963,3124,2985,3000,3000,1111,1199,1236,1349,1434,1474,1632,1676,1676,1914,2021,2211,2215
480,Mauritius,1463,1522,1709,1775,1624,1830,1951,1999,2197,2468,2769,2967,2981,3146,3194,3410,3777,3887,3953,3865,4118
484,Mexico,314416,326345,328472,330334,347984,328039,340815,358383,373411,381848,381518,394800,391251,405633,410744,435046,441796,455845,471444,446237,443674
583,Micronesia, , , , , , , ,77,81,117,136,176,147,147,147,117,103,99,99,99,103
496,Mongolia,10044,12207,11078,9314,7961,7924,8042,7712,7708,7554,7506,7884,8287,8034,8551,8647,9498,10092,10029,11052,11511
499,Montenegro, , , , , , , , , , , , , , , , ,2384,2252,2750,1822,2582
500,Montserrat,33,33,37,37,37,44,40,48,51,48,55,59,66,70,70,70,77,77,77,77,77
504,Morocco,23542,24976,26039,28218,29640,30374,31195,31863,32039,33153,33905,37715,38254,37561,43311,45771,47425,50267,49934,49541,50608
508,Mozambique,1001,1027,1001,1078,1071,1111,1041,1126,1133,1188,1349,1580,1588,1918,1922,1822,1980,2391,2340,2574,2882
104,Myanmar,4276,4180,4888,5343,6245,6960,7257,7499,8078,8969,10088,8724,9208,9846,12435,11613,12611,12636,9028,10392,8995
516,Namibia,26,1016,1122,1151,1320,1632,1749,1797,1907,1665,1643,2017,1760,1874,1962,2310,2329,2409,3579,3183,3176
520,Nauru,158,154,143,139,132,128,121,121,117,110,103,103,99,92,88,88,77,88,88,84,84
524,Nepal,634,961,1331,1467,1698,2035,2486,2783,2252,3220,3234,3454,2710,2952,2769,3242,2662,2699,3047,3506,3755
528,Netherlands,163482,164084,160340,165657,165807,166045,179085,171396,168407,163027,165363,167274,172364,175041,176903,172228,167201,171766,173845,169650,182078
530,Netherlands Antilles,6216,5145,4338,6722,6568,6498,6139,6381,282,2116,5614,5717,5512,5515,5787,5735,5537,6267,6003,6172,4727
540,New Caledonia,1624,1789,1771,1771,1723,1731,1764,1826,1804,2035,2299,1907,2428,2750,2552,2838,2780,2945,3282,2849,3920
554,New Zealand,23663,24177,25130,26905,26388,27147,28768,30971,29952,32717,32897,34510,33201,33938,34759,33920,33553,33648,34264,32325,31551
558,Nicaragua,2549,2006,2395,2303,2541,2780,2875,3143,3421,3627,3762,3964,4037,4411,4426,4320,4466,4595,4386,4496,4547
562,Niger,832,821,785,880,873,920,1016,1012,1074,1060,796,759,814,880,964,829,807,821,917,1085,1412
566,Nigeria,45375,45247,64884,60062,46659,34917,40421,40190,40183,44789,79182,83351,98125,93138,97047,104697,98514,95210,92621,71719,78910
570,Niue,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7
578,Norway,31364,32024,29600,32196,29248,34906,33179,34132,36472,41023,38808,41092,37429,42625,42666,42438,44257,45089,50326,47077,57187
