CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
408,"Korea, Democratic People's Republic of",21.1,,,,,,,20.1,20.1,20.1,20.1,20.1,20.1,20.1,,20.1,20.1,20.1,20.1,20.1,15.6,15.6,15.6,15.6
410,"Korea, Republic of",2,,,,,,,3,3,3.7,3.7,5.9,5.9,5.9,5.5,13,13.4,13.4,14.4,13.7,14.7,14.7,14.7,15.7
414,Kuwait,,,,,,,,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,3.1,7.7,7.7,7.7,6.2
417,Kyrgyzstan,,,,,,,,1.4,1.4,1.4,1.4,2.3,10,10,10,10,0,0,25.6,25.6,25.6,23.3,23.3,23.3
418,Lao People's Democratic Republic,6.3,,,,,,,9.4,,21.2,21.2,21.2,21.2,22.9,22.9,22.9,22.9,25.2,25.2,25.2,25.2,25.2,25,25
428,Latvia,,,,,,,,9,9,17,17,17,17,21,21,21,21,19,20,20,22,20,23,23
422,Lebanon,0,,,,,,,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,4.7,4.7,4.7,4.7,3.1,3.1,3.1,3.1
426,Lesotho,,,,,,,,4.6,4.6,3.8,3.8,3.8,3.8,11.7,11.7,11.7,11.7,11.8,25,25,24.2,24.2,24.2,26.7
430,Liberia,,,,,,,,5.7,,,,7.8,7.8,7.8,7.8,5.3,12.5,12.5,12.5,12.5,12.5,12.5,9.6,11
434,Libyan Arab Jamahiriya,,,,,,,,,,,,,,,,,4.7,7.7,7.7,7.7,7.7,7.7,,16.5
438,Liechtenstein,4,,,,,,,8,4,4,4,4,12,12,12,12,24,24,24,24,24,24,24,24
440,Lithuania,,,,,,,,17.5,17.5,17.5,17.5,10.6,10.6,10.6,10.6,22,22,24.8,22.7,17.7,19.1,19.1,19.1,24.5
442,Luxembourg,13.3,,,,,,,20,20,20,16.7,16.7,16.7,16.7,16.7,23.3,23.3,23.3,23.3,23.3,20,20,25,21.7
450,Madagascar,6.5,,,,,,,3.7,3.7,,8,8,8,3.8,3.8,6.9,6.9,6.9,7.9,7.9,,12.5,17.5,17.5
454,Malawi,9.8,,,,,,,5.6,5.6,5.6,8.3,9.3,9.3,9.3,9.3,14,13.6,13.6,13,13,20.8,20.8,22.3,22.3
458,Malaysia,5.1,,,,,,,7.8,7.8,7.8,,10.4,10.4,10.4,10.5,9.1,9.1,9.1,10,10.8,9.9,9.9,10.4,10.4
462,Maldives,6.3,,,,,,,6.3,6.3,6.3,,6,6,6,6,12,12,12,12,12,6.5,6.5,6.5,6.5
466,Mali,,,,,,,,2.3,12.2,12.2,12.2,12.2,12.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
470,Malta,2.9,,,,,,,5.8,5.8,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,8.7,8.7,8.7,8.7,8.7
584,Marshall Islands,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3
478,Mauritania,,,,,,,,1.3,1.3,3.8,3.8,3.8,,,3.7,3.7,,17.9,22.1,22.1,22.1,22.1,22.1,22.1
480,Mauritius,7.1,,,,,,,7.6,7.6,7.6,7.6,5.7,5.7,5.7,5.7,5.7,17.1,17.1,17.1,17.1,17.1,18.8,18.8,18.8
484,Mexico,12,,,,,,,14.2,14.2,17.4,18.2,16,16,16,22.6,22.6,24.2,22.6,23.2,23.2,27.6,26.2,26.2,36.8
583,Micronesia,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Monaco,11.1,,,,,,,5.6,5.6,22.2,22.2,22.2,22.2,22.2,20.8,20.8,20.8,20.8,20.8,25,26.1,26.1,19,19
496,Mongolia,24.9,,,,,,,7.9,7.9,7.9,7.9,10.5,10.5,10.5,10.5,6.8,6.7,6.6,6.6,4.1,3.9,3.9,3.9,14.9
499,Montenegro,,,,,,,,,,,,,,,,,,8.6,11.1,11.1,11.1,11.1,12.3,17.3
