CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
454,Malawi,0.58,0.61,,0.6,0.66,0.68,0.68,,,0.7,0.75,0.78,0.78,,0.81,0.82,0.84,0.84,0.85,0.88,0.91,0.91
458,Malaysia,1.07,1.05,1.07,1.07,1.08,1.09,,1.07,1.09,1.08,1.09,1.09,1.1,1.13,1.12,1.1,1.08,1.07,1.08,1.07,1.07,
462,Maldives,,,,,1.04,1.06,1.04,1.07,1.06,1.08,1.08,1.07,1.14,1.1,1.13,,,,,,,
466,Mali,0.5,0.52,0.46,0.51,0.5,0.5,0.52,0.5,0.51,0.54,0.56,,,0.55,0.6,0.62,0.62,0.67,0.65,0.67,0.7,0.71
470,Malta,0.93,0.93,0.92,0.92,0.89,0.93,1.01,,,0.85,1,0.97,0.99,0.99,0.93,0.96,,1.02,0.97,0.88,0.89,
584,Marshall Islands,,,,,,,,,,1.06,,,1.04,1.08,1.04,1,1.01,1,1.06,1.03,,
474,Martinique,1.17,1.14,1.15,1.22,1.08,1.05,1.05,,,,,,,,,,,,,,,
478,Mauritania,0.46,0.48,0.52,0.52,0.57,0.58,0.52,,0.73,0.75,0.74,0.78,0.79,0.83,0.86,0.88,0.85,0.87,0.88,0.83,0.85,0.84
480,Mauritius,1.01,,,,,,1.04,,1.01,0.98,0.96,0.97,1,0.99,0.98,0.98,,,,,,
484,Mexico,0.99,1,0.96,0.98,0.99,0.99,0.98,0.98,0.99,1.01,1.02,1.03,1.05,1.07,1.05,1.05,1.06,1.06,1.07,1.08,1.07,1.07
583,Micronesia,,,,,,,,,,,,,,,1.06,1.08,,,,,,
496,Mongolia,,1.1,,1.24,1.3,1.33,1.32,1.35,1.33,1.26,1.22,1.2,1.18,1.14,1.11,1.11,1.1,,,1.08,1.07,1.06
499,Montenegro,,,,,,,,,,,,,,1,1,1.02,1.02,1.01,1.14,1.01,1.01,1
500,Montserrat,,,,,,,,,,0.75,1.12,1.03,1.13,,1.1,1.1,0.98,1.02,,,,
504,Morocco,0.71,0.72,0.71,0.72,0.73,0.74,0.74,0.75,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.85,0.86,0.87,0.86,0.86,0.87,0.86
508,Mozambique,0.57,0.56,0.59,0.6,0.59,0.61,,,,0.63,0.63,0.64,0.66,,0.7,0.69,0.72,0.73,0.75,0.79,0.82,0.87
104,Myanmar,0.95,0.98,1,1.01,1.01,,,,,1,1.07,0.95,0.94,0.94,0.94,0.98,0.99,1.01,,1.03,1.06,
516,Namibia,1.25,1.23,1.23,1.22,1.21,1.18,1.17,1.15,1.15,1.12,1.13,1.14,1.12,1.13,1.13,1.14,1.17,1.18,,,,
520,Nauru,,,,,,,,,,,1.17,0.97,1.21,1.09,1.2,1.13,1.18,1.17,1.2,,,
524,Nepal,0.44,0.46,0.5,0.53,0.56,0.6,0.64,,,0.7,0.71,0.72,0.74,0.77,,0.86,0.89,,,,,
528,Netherlands,0.92,0.92,0.93,0.95,0.93,0.95,0.95,0.96,0.97,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,
530,Netherlands Antilles,,1.2,,,,,,,,1.15,1.1,,1.1,,,,,,,,,
554,New Zealand,1.01,1.01,1,1,1.03,0.98,1.05,1.05,1.06,1.05,1.06,,1.11,1.1,1.06,1.06,1.04,1.02,1.05,1.03,1.05,
558,Nicaragua,,,,,,,,,1.18,1.18,1.17,1.17,1.16,1.13,1.13,1.13,1.13,1.13,1.13,,1.1,
562,Niger,0.37,0.37,0.4,0.46,,,0.53,0.54,0.56,0.59,0.6,0.6,0.6,0.61,0.61,0.63,0.63,0.62,0.61,0.61,0.68,0.65
566,Nigeria,0.78,,,,,,,,,0.91,0.85,0.84,0.77,,0.81,0.84,0.82,0.78,0.84,0.88,0.88,
570,Niue,,,,,,,,,0.82,1.1,,1.09,,,1.73,1.78,,,,,,
578,Norway,1.04,1.03,1.01,0.97,0.97,0.95,0.95,0.96,1,1.02,1.02,1.02,1.02,1.02,1.03,1.01,1,0.99,0.98,0.98,0.98,
512,Oman,0.72,0.81,0.87,0.91,0.93,0.94,0.94,0.99,1,1.01,0.99,0.99,0.97,0.95,,0.95,0.97,0.99,1,0.99,,0.98
586,Pakistan,0.41,0.47,0.49,,,,,,,,,,,0.77,0.77,0.77,0.77,0.75,0.75,0.78,0.75,0.73
585,Palau,,,,,,,,,,1.07,1.03,1.01,,,1.02,,,,,,,
591,Panama,1.07,,,,,,,,,1.07,1.06,1.07,1.07,,1.07,1.07,1.09,1.08,1.08,1.08,1.07,1.08
598,Papua New Guinea,0.65,0.67,0.67,0.68,0.69,0.68,,,0.7,,,,,,,,,,,,,
600,Paraguay,1.03,1.05,,1.05,1.04,1.07,1.05,1.05,1.05,1.04,1.03,1.02,1.01,1.01,1.02,1.03,1.03,1.04,1.04,1.05,1.05,
604,Peru,,0.94,,,,0.94,,,0.94,0.94,0.93,0.93,0.93,0.94,0.98,0.97,0.98,0.99,0.99,0.98,0.98,0.99
608,Philippines,1.04,,,,,,,,1.1,1.1,,1.1,1.11,1.11,1.11,1.12,1.12,1.11,1.09,1.08,,
616,Poland,1.06,1.05,1.05,1.01,1,,,1,1,0.99,0.98,0.97,0.97,0.96,1.01,0.99,0.98,0.98,0.99,0.99,0.99,
620,Portugal,1.01,1.16,,1.14,1.09,1.08,1.09,,1.08,1.08,1.07,1.06,1.05,1.09,1.1,1.1,1.09,1.07,1.05,1.04,1.02,
630,Puerto Rico,,,,,,,,,,,,,,,,,,,,1.03,1.06,1.04
634,Qatar,1.28,1.21,1.17,1.07,0.94,0.85,0.79,,1.04,1.11,1.15,1.23,1.17,1.05,,,,,1.3,1.29,1.21,1.09
498,Republic of Moldova,1.09,1.09,1.1,1.11,1.1,1.04,1.03,1.03,,0.98,1.02,1.02,1.03,1.04,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02
638,Reunion,,,,,1.04,1.03,1.03,,,,,,,,,,,,,,,
642,Romania,0.97,0.99,1,0.99,1.02,1.02,1.02,1,1.01,1.01,1.02,1.01,1.02,1.02,1.01,1.01,1,0.99,0.99,0.99,0.99,
643,Russian Federation,,,,,1.02,,,,,,,,,1,0.99,0.99,0.98,0.98,0.97,0.98,,
646,Rwanda,0.81,0.82,0.8,,,,,,,1.01,0.95,0.99,0.99,0.89,0.9,0.88,0.9,0.9,0.91,0.95,1.02,1.05
659,Saint Kitts and Nevis,,,1.03,1.04,,,,,,,1.04,1.06,1.06,1.14,1.11,1.05,,1.01,1.06,1.08,0.99,1.04
662,Saint Lucia,1.52,1.46,1.56,1.69,,,,1.26,,1.26,1.3,1.26,1.28,1.23,0.97,1.18,1.17,1.11,1.05,1.03,0.99,0.97
670,Saint Vincent and the Grenadines,,1.24,,,,,,,,,1.34,1.18,1.12,1.1,1.08,1.25,,1.12,1.12,1.04,1.02,
882,Samoa,,,,,,1.09,1.07,,1.14,1.11,1.14,1.13,1.12,1.14,1.13,1.13,,,,1.15,1.14,1.15
674,San Marino,,,,,,,,,,,,,,,,,,,,1.04,1.02,1.01
678,Sao Tome and Principe,,,,,,,,,,,,,,1.18,1.04,1.07,1.1,1.07,1.07,1.12,1.03,1.15
682,Saudi Arabia,,,,,,,,,,,,,,,,0.93,,,0.89,0.9,0.89,0.88
686,Senegal,0.51,,0.53,,,,0.61,0.6,0.62,0.65,0.65,0.66,0.67,,0.72,0.75,0.76,,0.79,,0.88,0.92
688,Serbia,,,,,,,,,,1.01,1.02,1.02,1.03,1.03,1.03,1.03,1.04,1.03,1.03,1.03,1.02,1.02
690,Seychelles,,0.98,1,1.01,1.02,1,1.02,,0.99,1.04,1.06,1.07,1.05,1.07,1.1,1.06,,1.11,1.14,1.13,1.09,1.12
694,Sierra Leone,0.49,0.54,,,,,,,,,,0.68,,,,,,,,,,
703,Slovakia,,,,1.04,1.04,1.05,1.03,1.03,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
705,Slovenia,,,,1.05,1.04,1.04,1.04,1.04,1.04,1.03,1.04,1.02,1.01,1,1,1,1,0.99,0.99,1,0.99,0.99
90,Solomon Islands,0.63,0.6,0.63,0.61,0.66,,,,,0.76,0.79,0.82,0.82,,,0.84,0.84,0.84,,,0.88,
706,Somalia,,,,,,,,,,,,,,,,,,0.46,,,,
710,South Africa,1.16,1.17,,,1.15,,,,1.13,1.13,1.1,1.1,1.07,1.07,1.07,1.06,1.06,1.05,1.04,1.05,,
724,Spain,1.06,1.07,1.08,1.08,1.09,1.08,1.11,1.06,1.07,1.06,1.06,1.06,1.06,1.05,1.06,1.06,1.06,1.06,1.06,1.04,1.02,1.01
144,Sri Lanka,1.08,1.09,1.09,1.08,1.09,1.08,,,,,,,,,,,,,,,1.03,1.04
275,State of Palestine,,,,,,0.96,0.97,0.99,,1.02,1.04,1.06,1.05,1.05,1.04,1.05,1.06,1.06,1.07,1.07,1.08,1.1
740,Suriname,1.28,1.18,1.2,1.19,,,,,,,,1.19,1.39,,,1.29,1.32,1.33,1.28,1.23,,1.31
748,Swaziland,,,,,,,,,1,1,1.01,1.01,1.03,1.02,0.98,1.02,1.03,0.91,,1.01,1,0.97
752,Sweden,1.05,1.05,1.04,1.14,1.13,1.15,1.17,1.19,1.25,1.26,1.27,1.26,1.21,1.18,1.03,1,1,0.99,0.99,0.99,0.99,0.99
756,Switzerland,0.94,0.94,0.94,0.93,0.93,0.94,0.94,,0.92,0.93,0.94,0.95,0.94,0.94,0.94,0.94,0.94,0.95,0.96,0.96,0.97,0.97
760,Syrian Arab Republic,0.73,0.73,0.76,0.8,0.81,0.83,0.87,0.9,0.9,0.92,0.92,0.9,0.91,0.93,0.93,0.94,0.95,0.98,1,1.01,1.01,1
762,Tajikistan,,,,,,,,,,0.86,0.86,0.83,0.82,0.83,0.84,0.83,0.83,0.84,0.87,0.88,0.87,0.87
764,Thailand,1.05,0.97,0.97,0.98,,,,,,,,0.98,1.01,,1.08,1.06,1.08,1.09,1.09,1.09,1.08,1.08
807,The former Yugoslav Republic of Macedonia,,,,0.99,0.98,0.98,0.98,0.98,0.97,0.98,0.97,0.97,0.98,0.98,0.98,0.98,,0.98,0.97,0.98,0.99,
626,Timor-Leste,,,,,,,,,,,,,,,0.98,1,,,1,0.99,1.01,1.03
768,Togo,0.34,0.34,0.33,,0.34,0.35,0.35,0.36,,0.4,0.44,0.46,0.47,0.49,0.51,0.53,0.54,0.53,,,,
772,Tokelau,,,,,,,,,,,1.01,1.2,1.24,0.9,,,,,,,,
776,Tonga,0.98,1.02,,0.99,,,,,1.17,1.14,1.12,1.09,1.1,,1.05,,1,,,,,
780,Trinidad and Tobago,1.02,1.03,1.01,1.02,,,,,,1.09,1.1,1.08,1.1,1.08,1.07,,,,1.07,,,
788,Tunisia,0.76,0.78,0.82,0.84,0.88,0.9,0.91,0.93,,0.99,1.03,1.03,1.02,1.05,,1.08,1.07,,1.06,1.06,1.06,1.03
792,Turkey,0.59,0.61,0.62,0.64,0.66,0.65,,0.68,,0.69,0.73,0.73,0.73,0.73,0.78,0.84,0.84,0.85,0.89,0.91,0.92,
796,Turks and Caicos Islands,,,,,,,,,,,,,1.02,1,0.98,0.94,,,,,,
798,Tuvalu,,,,,,,,,,,,1.1,,,,,,,,,,
800,Uganda,0.58,,0.59,,0.62,,,0.64,,,0.76,0.76,0.8,0.8,0.79,0.79,0.8,0.8,0.83,0.82,,
804,Ukraine,1.04,1.04,1.04,1.08,1.07,,,,,1.03,1.01,0.99,1,0.99,0.99,0.92,0.98,0.99,0.98,0.98,0.98,0.97
784,United Arab Emirates,1.23,1.2,1.19,1.15,1.1,1.06,,1.11,1.12,1.09,1.06,1.03,1.09,1.07,1.03,1.01,1.01,,,,,
826,United Kingdom,1.03,1.04,1.04,0.99,0.99,0.99,1,1,1.01,1.01,1.01,1.01,1.01,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.01,
834,United Republic of Tanzania,0.73,0.77,0.78,0.78,0.8,0.82,0.87,0.81,,,,,,,,,,,,,0.82,
840,United States,1,1.02,,1,1,1.02,1.01,,1.04,,1.01,1.02,0.99,1,1.02,1.02,0.99,1.01,1,1.01,1.01,
858,Uruguay,,,,,1.19,1.2,,,1.33,1.17,1.14,1.14,1.12,1.15,1.15,1.15,1.16,0.99,1.13,1.13,1.14,
860,Uzbekistan,,,,,,,,,,0.98,0.97,0.97,0.97,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.98
548,Vanuatu,,0.81,,,,,,,,0.88,1.14,0.91,0.95,0.84,0.87,,,,,,1.02,
862,Venezuela,,1.24,1.24,1.25,,,,,,1.22,1.2,1.17,1.16,1.15,1.14,1.13,1.12,1.12,1.1,1.09,1.1,1.09
704,Viet Nam,,,,,,,,,0.89,,,,,,,,,,,,,
887,Yemen,,,,,,,,,,0.37,,0.41,,0.45,0.47,0.49,,,0.57,,0.62,0.63
716,Zimbabwe,0.88,0.79,0.79,0.8,0.82,0.84,0.86,,,,,,,,,,,,,,,
